Year of the report,Quarter of the report,Company Name,Standard Industrial Classification Code,Type of Report,Central Index Key,Report Page,Report as Text
2012,1,1ST CONSTITUTION BANCORP,6035,10-K,1141807,https://www.sec.gov/Archives/edgar/data/1141807/0001214659-12-001265-index.htm,https://www.sec.gov/Archives/edgar/data/1141807/000121465912001265/0001214659-12-001265.txt
2012,1,1ST SOURCE CORP,6022,10-K,34782,https://www.sec.gov/Archives/edgar/data/34782/0001104659-12-010878-index.htm,https://www.sec.gov/Archives/edgar/data/34782/000110465912010878/0001104659-12-010878.txt
2012,1,1st Century Bancshares/qq/ Inc.,6022,10-K,1420525,https://www.sec.gov/Archives/edgar/data/1420525/0001420525-12-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1420525/000142052512000021/0001420525-12-000021.txt
2012,1,1st FRANKLIN FINANCIAL CORP,6141,10-K,38723,https://www.sec.gov/Archives/edgar/data/38723/0001376474-12-000078-index.htm,https://www.sec.gov/Archives/edgar/data/38723/000137647412000078/0001376474-12-000078.txt
2012,1,1st Financial Services CORP,6022,10-K,1434743,https://www.sec.gov/Archives/edgar/data/1434743/0001354488-12-001490-index.htm,https://www.sec.gov/Archives/edgar/data/1434743/000135448812001490/0001354488-12-001490.txt
2012,1,1st United Bancorp/qq/ Inc.,6022,10-K,1415277,https://www.sec.gov/Archives/edgar/data/1415277/0001171200-12-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1415277/000117120012000126/0001171200-12-000126.txt
2012,1,21ST CENTURY HOLDING CO,6331,10-K,1069996,https://www.sec.gov/Archives/edgar/data/1069996/0001140361-12-018226-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036112018226/0001140361-12-018226.txt
2012,1,24HOLDINGS INC,6770,10-K,1025315,https://www.sec.gov/Archives/edgar/data/1025315/0001144204-12-010894-index.htm,https://www.sec.gov/Archives/edgar/data/1025315/000114420412010894/0001144204-12-010894.txt
2012,1,3D SYSTEMS CORP,7372,10-K,910638,https://www.sec.gov/Archives/edgar/data/910638/0001193125-12-074109-index.htm,https://www.sec.gov/Archives/edgar/data/910638/000119312512074109/0001193125-12-074109.txt
2012,1,3M CO,3841,10-K,66740,https://www.sec.gov/Archives/edgar/data/66740/0001104659-12-010566-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465912010566/0001104659-12-010566.txt
2012,1,4 KIDS ENTERTAINMENT INC,6794,10-K,58592,https://www.sec.gov/Archives/edgar/data/58592/0000058592-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/58592/000005859212000007/0000058592-12-000007.txt
2012,1,5V Inc.,6770,10-K,1504876,https://www.sec.gov/Archives/edgar/data/1504876/0001213900-12-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1504876/000121390012000164/0001213900-12-000164.txt
2012,1,A. H. Belo CORP,2711,10-K,1413898,https://www.sec.gov/Archives/edgar/data/1413898/0001193125-12-107434-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000119312512107434/0001193125-12-107434.txt
2012,1,A123 SYSTEMS/qq/ INC.,3690,10-K,1167178,https://www.sec.gov/Archives/edgar/data/1167178/0001047469-12-002475-index.htm,https://www.sec.gov/Archives/edgar/data/1167178/000104746912002475/0001047469-12-002475.txt
2012,1,A5 Laboratories Inc.,0100,10-K,1381054,https://www.sec.gov/Archives/edgar/data/1381054/0001511164-12-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1381054/000151116412000034/0001511164-12-000034.txt
2012,1,AAA CAPITAL ENERGY FUND L.P.,6200,10-K,1057051,https://www.sec.gov/Archives/edgar/data/1057051/0001193125-12-142679-index.htm,https://www.sec.gov/Archives/edgar/data/1057051/000119312512142679/0001193125-12-142679.txt
2012,1,AAA CAPITAL ENERGY FUND L.P. II,6221,10-K,1227268,https://www.sec.gov/Archives/edgar/data/1227268/0001193125-12-142775-index.htm,https://www.sec.gov/Archives/edgar/data/1227268/000119312512142775/0001193125-12-142775.txt
2012,1,AAON INC,3585,10-K,824142,https://www.sec.gov/Archives/edgar/data/824142/0001026608-12-000022-index.htm,https://www.sec.gov/Archives/edgar/data/824142/000102660812000022/0001026608-12-000022.txt
2012,1,AARON'S INC,7359,10-K,706688,https://www.sec.gov/Archives/edgar/data/706688/0001193125-12-088733-index.htm,https://www.sec.gov/Archives/edgar/data/706688/000119312512088733/0001193125-12-088733.txt
2012,1,AASTROM BIOSCIENCES INC,2836,10-K,887359,https://www.sec.gov/Archives/edgar/data/887359/0001104659-12-018573-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000110465912018573/0001104659-12-018573.txt
2012,1,ABBOTT LABORATORIES,2834,10-K,1800,https://www.sec.gov/Archives/edgar/data/1800/0001047469-12-001216-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746912001216/0001047469-12-001216.txt
2012,1,ABBY INC.,1311,10-K,1478535,https://www.sec.gov/Archives/edgar/data/1478535/0001096350-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1478535/000109635012000020/0001096350-12-000020.txt
2012,1,ABERCROMBIE & FITCH CO /DE/,5651,10-K,1018840,https://www.sec.gov/Archives/edgar/data/1018840/0001193125-12-134456-index.htm,https://www.sec.gov/Archives/edgar/data/1018840/000119312512134456/0001193125-12-134456.txt
2012,1,ABOVENET INC,4899,10-K,1043533,https://www.sec.gov/Archives/edgar/data/1043533/0001144204-12-011778-index.htm,https://www.sec.gov/Archives/edgar/data/1043533/000114420412011778/0001144204-12-011778.txt
